[NaiveBayes  - avg:242.09, std:94.55195535422064
SVM -C 0.1 -S 0 - avg:174.905, std:94.73351131373283
SVM -C 0.01 -S 4 - avg:117.165, std:97.84280169854655
SVM -C 10 -S 6 - avg:84.75, std:90.25105965496594
SVM -C 0.01 -S 7 - avg:59.155, std:78.48490540788352
SVM -C 0.01 -S 2 - avg:57.215, std:80.01299376260253
SVM -C 0.1 -S 7 - avg:39.875, std:68.94735720335213
SVM -C 0.01 -S 3 - avg:39.375, std:69.17739467971721
SVM -C 0.01 -S 0 - avg:32.49, std:61.93682873516244
SVM -C 0.01 -S 1 - avg:32.13, std:66.311910296991
SVM -C 1 -S 5 - avg:15.995, std:45.28264085512318
SVM -C 100 -S 6 - avg:7.15, std:30.138165923395714
SVM -C 1 -S 6 - avg:3.775, std:19.499371849179212
SVM -C 1 -S 7 - avg:3.135, std:15.926867253245774
SVM -C 0.1 -S 5 - avg:2.005, std:13.057852524929743
SVM -C 1 -S 0 - avg:1.465, std:10.461164121352333
SVM -C 10 -S 7 - avg:0.915, std:7.612326356825098
SVM -C 100 -S 4 - avg:0.445, std:3.0319860980044853
SVM -C 0.1 -S 3 - avg:0.37, std:3.386805613156228
SVM -C 10 -S 3 - avg:0.33, std:4.596382672095712
SVM -C 10 -S 0 - avg:0.21, std:1.4198520695824222
SVM -C 0.1 -S 1 - avg:0.175, std:1.5577251162154515
SVM -C 0.1 -S 2 - avg:0.165, std:0.9604097743533053
SVM -C 1 -S 4 - avg:0.16, std:0.937440115340306
SVM -C 100 -S 1 - avg:0.135, std:1.4585650689295653
SVM -C 0.1 -S 4 - avg:0.095, std:0.7803973990874857
SVM -C 10 -S 1 - avg:0.07, std:0.6763038774643887
SVM -C 10 -S 4 - avg:0.04, std:0.4465388951979694
SVM -C 100 -S 3 - avg:0.04, std:0.3300677561018199
SVM -C 100 -S 2 - avg:0.025, std:0.35355339059327373
SVM -C 100 -S 7 - avg:0.02, std:0.17247824129029424
SVM -C 1 -S 1 - avg:0.02, std:0.2232694475989847
SVM -C 1 -S 2 - avg:0.015, std:0.12185748327926266
SVM -C 0.1 -S 6 - avg:0.015, std:0.21213203435596423
SVM -C 100 -S 0 - avg:0.015, std:0.15779574610057517
SVM -C 10 -S 5 - avg:0.005, std:0.07071067811865475]
[7 - avg:155.255, std:121.63988359665196
5 - avg:132.65, std:130.209446661907
6 - avg:130.255, std:127.6407095273417
1 - avg:119.515, std:130.5608688596508
4 - avg:117.555, std:132.26616600000813
3 - avg:115.455, std:121.9896938352173
0 - avg:103.155, std:121.16217370402124
2 - avg:68.155, std:102.47181730460596]
[4 - avg:93.05, std:72.58837967830394
3 - avg:58.66, std:61.81301354258729
5 - avg:45.985, std:57.897455486047
2 - avg:21.04, std:27.00657653016015
6 - avg:13.275, std:33.687887195824445
1 - avg:4.84, std:4.419509056615626
7 - avg:1.095, std:7.0315852376810355
8 - avg:0.45, std:6.1544199094724235]

normalized
[NaiveBayes  - avg:0.24499533949575503, std:0.09258421229711004
SVM -C 0.1 -S 0 - avg:0.181045650186762, std:0.11963669023891231
SVM -C 0.01 -S 4 - avg:0.12950234664634058, std:0.11338394516381564
SVM -C 10 -S 6 - avg:0.10013629805279085, std:0.11072242488450361
SVM -C 0.01 -S 7 - avg:0.0810003331459761, std:0.09199897575457532
SVM -C 0.01 -S 3 - avg:0.06296764104561921, std:0.09415402457598021
SVM -C 0.01 -S 2 - avg:0.05997444563563658, std:0.09120470779320787
SVM -C 0.1 -S 7 - avg:0.03993646614814148, std:0.0699920914056115
SVM -C 0.01 -S 0 - avg:0.03202772561438139, std:0.06805815252873751
SVM -C 0.01 -S 1 - avg:0.026764424600778505, std:0.05817287389089471
SVM -C 1 -S 5 - avg:0.014454239343903427, std:0.04840184610016313
SVM -C 100 -S 6 - avg:0.011382543148623248, std:0.037625426370800505
SVM -C 1 -S 6 - avg:0.005778309840177854, std:0.026182041417467033
SVM -C 1 -S 0 - avg:0.0025166515748596546, std:0.012967667485740159
SVM -C 1 -S 7 - avg:0.0022427726625258494, std:0.009080895882755796
SVM -C 0.1 -S 5 - avg:0.0017043193807259255, std:0.009254098605025672
SVM -C 10 -S 7 - avg:0.0012111281512882752, std:0.010213960463651344
SVM -C 100 -S 0 - avg:3.8498159818815445E-4, std:0.004698902588609607
SVM -C 1 -S 4 - avg:3.2861072702570376E-4, std:0.003485149422182122
SVM -C 10 -S 0 - avg:3.140979366513593E-4, std:0.0016821050144300688
SVM -C 0.1 -S 3 - avg:2.245926653449715E-4, std:0.002338437553668666
SVM -C 100 -S 7 - avg:1.9259757252118926E-4, std:0.0011770028481520502
SVM -C 100 -S 4 - avg:1.7346515311930901E-4, std:0.001788346227463863
SVM -C 0.1 -S 2 - avg:1.408122810568283E-4, std:0.0014649607369027471
SVM -C 10 -S 1 - avg:1.1632290405750158E-4, std:0.0011990888319259117
SVM -C 10 -S 4 - avg:1.1598171993792338E-4, std:8.307119492915869E-4
SVM -C 0.1 -S 4 - avg:9.935953465999918E-5, std:8.637827016396538E-4
SVM -C 0.1 -S 1 - avg:7.44520532765995E-5, std:9.293107737266061E-4
SVM -C 100 -S 3 - avg:6.233003518367724E-5, std:7.951382699384709E-4
SVM -C 1 -S 3 - avg:3.314322765061789E-5, std:2.941070002530231E-4
SVM -C 1 -S 1 - avg:2.712854440908159E-5, std:2.4200162618466422E-4
SVM -C 0.1 -S 6 - avg:2.6483050847457626E-5, std:3.7452689681490866E-4
SVM -C 1 -S 2 - avg:1.9255455712451862E-5, std:2.723132661822391E-4
SVM -C 10 -S 2 - avg:1.0090817356205853E-5, std:1.4270570760576136E-4
SVM -C 10 -S 3 - avg:9.643201542912248E-6, std:1.3637546406683655E-4
SVM -C 100 -S 1 - avg:6.0168471720818295E-6, std:8.509106873484327E-5]
[7 - avg:0.18706449454937293, std:0.15028224941644233
5 - avg:0.148174191952193, std:0.13449474135070977
6 - avg:0.13969343120505878, std:0.13398074520365122
1 - avg:0.13403258344210617, std:0.1440134754554368
4 - avg:0.12592635497081459, std:0.1413623147279505
3 - avg:0.10986393579425253, std:0.12388381155738376
0 - avg:0.08457326758051366, std:0.12041907084066944
2 - avg:0.07067174050568832, std:0.11026957083308603]
[4 - avg:0.3615702917651549, std:0.29836888806672635
3 - avg:0.29229856247432495, std:0.29502249709641826
5 - avg:0.1899103139336764, std:0.255302621086607
2 - avg:0.07385268240328549, std:0.08113526432884756
6 - avg:0.05210728251803147, std:0.14585602209014634
1 - avg:0.018824360009388457, std:0.01765438405936208
7 - avg:0.011129489352278688, std:0.07022185941107865
8 - avg:3.070175438596491E-4, std:0.004341883744127923]

feature-classifier correlation
[7, NaiveBayes : 16873
6, NaiveBayes : 8999
0, NaiveBayes : 8199
4, NaiveBayes : 7285
1, NaiveBayes : 7199
3, NaiveBayes : 6114
5, NaiveBayes : 5420
2, NaiveBayes : 4536
4, SVM -C 0.01 -S 0: 1595
5, SVM -C 0.01 -S 0: 1333
6, SVM -C 0.01 -S 0: 941
7, SVM -C 0.01 -S 0: 860
1, SVM -C 0.01 -S 0: 797
3, SVM -C 0.01 -S 0: 581
0, SVM -C 0.01 -S 0: 564
2, SVM -C 0.01 -S 0: 528
7, SVM -C 0.01 -S 1: 3544
4, SVM -C 0.01 -S 1: 1048
6, SVM -C 0.01 -S 1: 870
2, SVM -C 0.01 -S 1: 635
1, SVM -C 0.01 -S 1: 484
5, SVM -C 0.01 -S 1: 408
3, SVM -C 0.01 -S 1: 268
0, SVM -C 0.01 -S 1: 237
7, SVM -C 0.01 -S 2: 2351
4, SVM -C 0.01 -S 2: 2317
1, SVM -C 0.01 -S 2: 1482
6, SVM -C 0.01 -S 2: 1140
5, SVM -C 0.01 -S 2: 1034
2, SVM -C 0.01 -S 2: 778
0, SVM -C 0.01 -S 2: 759
3, SVM -C 0.01 -S 2: 630
0, SVM -C 0.01 -S 3: 1992
7, SVM -C 0.01 -S 3: 1782
1, SVM -C 0.01 -S 3: 1289
4, SVM -C 0.01 -S 3: 1228
3, SVM -C 0.01 -S 3: 1017
6, SVM -C 0.01 -S 3: 644
5, SVM -C 0.01 -S 3: 613
2, SVM -C 0.01 -S 3: 491
1, SVM -C 0.01 -S 4: 5780
7, SVM -C 0.01 -S 4: 4883
3, SVM -C 0.01 -S 4: 3271
4, SVM -C 0.01 -S 4: 2179
5, SVM -C 0.01 -S 4: 1934
6, SVM -C 0.01 -S 4: 1933
0, SVM -C 0.01 -S 4: 1132
2, SVM -C 0.01 -S 4: 1049
4, SVM -C 0.01 -S 7: 2979
6, SVM -C 0.01 -S 7: 2580
1, SVM -C 0.01 -S 7: 1263
5, SVM -C 0.01 -S 7: 1153
2, SVM -C 0.01 -S 7: 941
0, SVM -C 0.01 -S 7: 806
7, SVM -C 0.01 -S 7: 727
3, SVM -C 0.01 -S 7: 613
5, SVM -C 0.1 -S 0: 4962
6, SVM -C 0.1 -S 0: 4375
4, SVM -C 0.1 -S 0: 2327
7, SVM -C 0.1 -S 0: 2089
3, SVM -C 0.1 -S 0: 1478
