final solution
[NaiveBayes : 537
SVM -C 0.1 -S 0: 330
SVM -C 0.01 -S 4: 289
SVM -C 10 -S 6: 261
SVM -C 0.01 -S 7: 233
SVM -C 0.01 -S 2: 145
SVM -C 0.01 -S 3: 99
SVM -C 0.01 -S 0: 86
SVM -C 0.1 -S 7: 76
SVM -C 1 -S 5: 56
SVM -C 0.01 -S 1: 44
SVM -C 1 -S 6: 26
SVM -C 100 -S 6: 18
SVM -C 1 -S 0: 3
SVM -C 10 -S 7: 1
SVM -C 0.1 -S 4: 1
SVM -C 0.1 -S 3: 1]
[7: 396
1: 324
4: 318
6: 291
5: 287
3: 277
0: 229
2: 155]
[4: 229
5: 138
3: 69
6: 51
7: 11
2: 1
8: 1]

feature-classifier correlation
[7, NaiveBayes : 38539
6, NaiveBayes : 23241
3, NaiveBayes : 19348
5, NaiveBayes : 18600
1, NaiveBayes : 17419
0, NaiveBayes : 15172
4, NaiveBayes : 14164
2, NaiveBayes : 11102
4, SVM -C 0.01 -S 0: 4425
6, SVM -C 0.01 -S 0: 3117
5, SVM -C 0.01 -S 0: 2153
3, SVM -C 0.01 -S 0: 1898
0, SVM -C 0.01 -S 0: 1596
1, SVM -C 0.01 -S 0: 1571
2, SVM -C 0.01 -S 0: 1463
7, SVM -C 0.01 -S 0: 862
7, SVM -C 0.01 -S 1: 3760
6, SVM -C 0.01 -S 1: 2159
1, SVM -C 0.01 -S 1: 1876
0, SVM -C 0.01 -S 1: 1711
4, SVM -C 0.01 -S 1: 1465
2, SVM -C 0.01 -S 1: 1410
3, SVM -C 0.01 -S 1: 1115
5, SVM -C 0.01 -S 1: 819
7, SVM -C 0.01 -S 2: 5876
4, SVM -C 0.01 -S 2: 4397
1, SVM -C 0.01 -S 2: 3636
3, SVM -C 0.01 -S 2: 3065
0, SVM -C 0.01 -S 2: 2797
6, SVM -C 0.01 -S 2: 2618
5, SVM -C 0.01 -S 2: 2511
2, SVM -C 0.01 -S 2: 1723
7, SVM -C 0.01 -S 3: 4914
3, SVM -C 0.01 -S 3: 4434
0, SVM -C 0.01 -S 3: 3520
1, SVM -C 0.01 -S 3: 3428
4, SVM -C 0.01 -S 3: 2843
5, SVM -C 0.01 -S 3: 2599
2, SVM -C 0.01 -S 3: 1792
6, SVM -C 0.01 -S 3: 1243
1, SVM -C 0.01 -S 4: 14342
7, SVM -C 0.01 -S 4: 10105
3, SVM -C 0.01 -S 4: 7805
6, SVM -C 0.01 -S 4: 7126
4, SVM -C 0.01 -S 4: 5804
5, SVM -C 0.01 -S 4: 5278
0, SVM -C 0.01 -S 4: 3300
2, SVM -C 0.01 -S 4: 3060
4, SVM -C 0.01 -S 7: 8207
0, SVM -C 0.01 -S 7: 3869
6, SVM -C 0.01 -S 7: 3626
5, SVM -C 0.01 -S 7: 3260
3, SVM -C 0.01 -S 7: 2802
2, SVM -C 0.01 -S 7: 2331
7, SVM -C 0.01 -S 7: 2006
1, SVM -C 0.01 -S 7: 1358
5, SVM -C 0.1 -S 0: 10667
6, SVM -C 0.1 -S 0: 10185
4, SVM -C 0.1 -S 0: 9368
3, SVM -C 0.1 -S 0: 5057
7, SVM -C 0.1 -S 0: 4952
1, SVM -C 0.1 -S 0: 3316
0, SVM -C 0.1 -S 0: 3115
2, SVM -C 0.1 -S 0: 1857
5, SVM -C 0.1 -S 1: 27
7, SVM -C 0.1 -S 1: 23
4, SVM -C 0.1 -S 1: 23
0, SVM -C 0.1 -S 1: 21
1, SVM -C 0.1 -S 1: 19
6, SVM -C 0.1 -S 1: 7
2, SVM -C 0.1 -S 1: 4
0, SVM -C 0.1 -S 2: 40
1, SVM -C 0.1 -S 2: 23
4, SVM -C 0.1 -S 2: 20
7, SVM -C 0.1 -S 2: 16
3, SVM -C 0.1 -S 2: 10
6, SVM -C 0.1 -S 2: 6
2, SVM -C 0.1 -S 2: 6
6, SVM -C 0.1 -S 3: 102
3, SVM -C 0.1 -S 3: 63
2, SVM -C 0.1 -S 3: 63
7, SVM -C 0.1 -S 3: 39
1, SVM -C 0.1 -S 3: 16
4, SVM -C 0.1 -S 3: 7
0, SVM -C 0.1 -S 3: 6
5, SVM -C 0.1 -S 3: 5
2, SVM -C 0.1 -S 4: 59
3, SVM -C 0.1 -S 4: 27
4, SVM -C 0.1 -S 4: 27
7, SVM -C 0.1 -S 4: 25
6, SVM -C 0.1 -S 4: 18
0, SVM -C 0.1 -S 4: 9
5, SVM -C 0.1 -S 4: 4
7, SVM -C 0.1 -S 5: 788
1, SVM -C 0.1 -S 5: 755
4, SVM -C 0.1 -S 5: 407
2, SVM -C 0.1 -S 5: 383
5, SVM -C 0.1 -S 5: 325
0, SVM -C 0.1 -S 5: 127
3, SVM -C 0.1 -S 5: 95
6, SVM -C 0.1 -S 5: 64
5, SVM -C 0.1 -S 7: 4131
6, SVM -C 0.1 -S 7: 2243
4, SVM -C 0.1 -S 7: 2067
7, SVM -C 0.1 -S 7: 1971
3, SVM -C 0.1 -S 7: 1619
1, SVM -C 0.1 -S 7: 1550
2, SVM -C 0.1 -S 7: 1240
0, SVM -C 0.1 -S 7: 800
5, SVM -C 1 -S 0: 234
4, SVM -C 1 -S 0: 131
3, SVM -C 1 -S 0: 80
0, SVM -C 1 -S 0: 80
1, SVM -C 1 -S 0: 58
7, SVM -C 1 -S 0: 45
6, SVM -C 1 -S 0: 39
2, SVM -C 1 -S 0: 12
1, SVM -C 1 -S 1: 47
0, SVM -C 1 -S 1: 6
2, SVM -C 1 -S 1: 5
7, SVM -C 1 -S 2: 13
6, SVM -C 1 -S 2: 6
1, SVM -C 1 -S 2: 1
2, SVM -C 1 -S 2: 1
1, SVM -C 1 -S 3: 19
0, SVM -C 1 -S 3: 19
3, SVM -C 1 -S 3: 12
6, SVM -C 1 -S 3: 12
5, SVM -C 1 -S 3: 2
7, SVM -C 1 -S 4: 17
6, SVM -C 1 -S 4: 15
4, SVM -C 1 -S 4: 10
3, SVM -C 1 -S 4: 9
5, SVM -C 1 -S 4: 6
1, SVM -C 1 -S 4: 2
2, SVM -C 1 -S 4: 2
0, SVM -C 1 -S 4: 2
1, SVM -C 1 -S 5: 1742
3, SVM -C 1 -S 5: 1479
2, SVM -C 1 -S 5: 1256
0, SVM -C 1 -S 5: 1231
6, SVM -C 1 -S 5: 1125
4, SVM -C 1 -S 5: 655
7, SVM -C 1 -S 5: 437
5, SVM -C 1 -S 5: 311
7, SVM -C 1 -S 6: 935
1, SVM -C 1 -S 6: 780
3, SVM -C 1 -S 6: 746
0, SVM -C 1 -S 6: 587
4, SVM -C 1 -S 6: 377
5, SVM -C 1 -S 6: 368
6, SVM -C 1 -S 6: 356
2, SVM -C 1 -S 6: 77
0, SVM -C 1 -S 7: 257
4, SVM -C 1 -S 7: 159
2, SVM -C 1 -S 7: 153
5, SVM -C 1 -S 7: 147
6, SVM -C 1 -S 7: 134
3, SVM -C 1 -S 7: 114
1, SVM -C 1 -S 7: 48
7, SVM -C 1 -S 7: 41
1, SVM -C 10 -S 0: 117
0, SVM -C 10 -S 0: 39
2, SVM -C 10 -S 0: 38
5, SVM -C 10 -S 0: 38
4, SVM -C 10 -S 0: 19
6, SVM -C 10 -S 0: 4
3, SVM -C 10 -S 0: 3
7, SVM -C 10 -S 0: 3
3, SVM -C 10 -S 1: 60
0, SVM -C 10 -S 1: 23
1, SVM -C 10 -S 1: 16
6, SVM -C 10 -S 1: 16
5, SVM -C 10 -S 1: 15
2, SVM -C 10 -S 1: 1
7, SVM -C 10 -S 1: 1
1, SVM -C 10 -S 2: 3
3, SVM -C 10 -S 2: 2
6, SVM -C 10 -S 2: 2
4, SVM -C 10 -S 2: 1
1, SVM -C 10 -S 3: 36
2, SVM -C 10 -S 3: 1
4, SVM -C 10 -S 3: 1
5, SVM -C 10 -S 4: 12
1, SVM -C 10 -S 4: 11
4, SVM -C 10 -S 4: 10
0, SVM -C 10 -S 4: 6
7, SVM -C 10 -S 4: 5
2, SVM -C 10 -S 4: 4
3, SVM -C 10 -S 4: 3
6, SVM -C 10 -S 4: 3
0, SVM -C 10 -S 6: 9252
3, SVM -C 10 -S 6: 8305
7, SVM -C 10 -S 6: 7945
4, SVM -C 10 -S 6: 5231
2, SVM -C 10 -S 6: 4507
6, SVM -C 10 -S 6: 4201
1, SVM -C 10 -S 6: 3952
5, SVM -C 10 -S 6: 2850
6, SVM -C 10 -S 7: 125
7, SVM -C 10 -S 7: 101
0, SVM -C 10 -S 7: 93
2, SVM -C 10 -S 7: 71
3, SVM -C 10 -S 7: 66
5, SVM -C 10 -S 7: 47
1, SVM -C 10 -S 7: 31
4, SVM -C 10 -S 7: 19
6, SVM -C 100 -S 0: 16
2, SVM -C 100 -S 0: 11
3, SVM -C 100 -S 0: 11
4, SVM -C 100 -S 0: 6
0, SVM -C 100 -S 0: 4
1, SVM -C 100 -S 0: 2
5, SVM -C 100 -S 0: 1
7, SVM -C 100 -S 0: 1
1, SVM -C 100 -S 1: 45
5, SVM -C 100 -S 1: 9
2, SVM -C 100 -S 1: 8
0, SVM -C 100 -S 1: 8
3, SVM -C 100 -S 1: 8
6, SVM -C 100 -S 1: 7
4, SVM -C 100 -S 1: 6
7, SVM -C 100 -S 1: 1
3, SVM -C 100 -S 2: 1
4, SVM -C 100 -S 3: 38
7, SVM -C 100 -S 3: 6
0, SVM -C 100 -S 3: 4
2, SVM -C 100 -S 4: 34
0, SVM -C 100 -S 4: 28
5, SVM -C 100 -S 4: 28
6, SVM -C 100 -S 4: 22
1, SVM -C 100 -S 4: 12
7, SVM -C 100 -S 4: 10
3, SVM -C 100 -S 4: 1
4, SVM -C 100 -S 4: 1
7, SVM -C 100 -S 6: 688
5, SVM -C 100 -S 6: 582
0, SVM -C 100 -S 6: 462
3, SVM -C 100 -S 6: 374
6, SVM -C 100 -S 6: 329
2, SVM -C 100 -S 6: 270
1, SVM -C 100 -S 6: 211
4, SVM -C 100 -S 6: 206
5, SVM -C 100 -S 7: 86
1, SVM -C 100 -S 7: 50
2, SVM -C 100 -S 7: 19
6, SVM -C 100 -S 7: 17
3, SVM -C 100 -S 7: 11
0, SVM -C 100 -S 7: 6
7, SVM -C 100 -S 7: 3
4, SVM -C 100 -S 7: 2]

feature-classifier with explicit else
[7, NaiveBayes : 43049
6, NaiveBayes : 22382
5, NaiveBayes : 20855
4, NaiveBayes : 17261
3, NaiveBayes : 16456
0, NaiveBayes : 16130
1, NaiveBayes : 15979
2, NaiveBayes : 11220
4, SVM -C 0.01 -S 0: 6120
5, SVM -C 0.01 -S 0: 2799
6, SVM -C 0.01 -S 0: 2486
0, SVM -C 0.01 -S 0: 2365
3, SVM -C 0.01 -S 0: 2169
2, SVM -C 0.01 -S 0: 1581
7, SVM -C 0.01 -S 0: 1466
1, SVM -C 0.01 -S 0: 1179
7, SVM -C 0.01 -S 1: 5742
6, SVM -C 0.01 -S 1: 2511
1, SVM -C 0.01 -S 1: 2489
3, SVM -C 0.01 -S 1: 1874
5, SVM -C 0.01 -S 1: 1764
2, SVM -C 0.01 -S 1: 1748
4, SVM -C 0.01 -S 1: 1550
0, SVM -C 0.01 -S 1: 1428
7, SVM -C 0.01 -S 2: 9640
1, SVM -C 0.01 -S 2: 6886
4, SVM -C 0.01 -S 2: 5479
3, SVM -C 0.01 -S 2: 4747
5, SVM -C 0.01 -S 2: 4334
6, SVM -C 0.01 -S 2: 3428
0, SVM -C 0.01 -S 2: 3408
2, SVM -C 0.01 -S 2: 2574
3, SVM -C 0.01 -S 3: 5828
7, SVM -C 0.01 -S 3: 5807
1, SVM -C 0.01 -S 3: 5278
0, SVM -C 0.01 -S 3: 3372
5, SVM -C 0.01 -S 3: 3303
6, SVM -C 0.01 -S 3: 3189
2, SVM -C 0.01 -S 3: 2361
4, SVM -C 0.01 -S 3: 1430
7, SVM -C 0.01 -S 4: 16617
1, SVM -C 0.01 -S 4: 15879
3, SVM -C 0.01 -S 4: 11123
4, SVM -C 0.01 -S 4: 9103
5, SVM -C 0.01 -S 4: 8442
6, SVM -C 0.01 -S 4: 8288
0, SVM -C 0.01 -S 4: 3917
2, SVM -C 0.01 -S 4: 2826
4, SVM -C 0.01 -S 7: 8855
6, SVM -C 0.01 -S 7: 5344
5, SVM -C 0.01 -S 7: 5264
0, SVM -C 0.01 -S 7: 4555
2, SVM -C 0.01 -S 7: 3061
3, SVM -C 0.01 -S 7: 2911
7, SVM -C 0.01 -S 7: 2720
1, SVM -C 0.01 -S 7: 2249
5, SVM -C 0.1 -S 0: 22846
6, SVM -C 0.1 -S 0: 16064
4, SVM -C 0.1 -S 0: 15057
7, SVM -C 0.1 -S 0: 13218
0, SVM -C 0.1 -S 0: 10042
3, SVM -C 0.1 -S 0: 9735
1, SVM -C 0.1 -S 0: 7779
2, SVM -C 0.1 -S 0: 6120
2, SVM -C 0.1 -S 1: 72
6, SVM -C 0.1 -S 1: 65
7, SVM -C 0.1 -S 1: 36
5, SVM -C 0.1 -S 1: 36
1, SVM -C 0.1 -S 1: 12
3, SVM -C 0.1 -S 1: 3
0, SVM -C 0.1 -S 1: 1
4, SVM -C 0.1 -S 1: 1
1, SVM -C 0.1 -S 2: 81
2, SVM -C 0.1 -S 2: 36
3, SVM -C 0.1 -S 2: 28
6, SVM -C 0.1 -S 2: 13
0, SVM -C 0.1 -S 2: 11
7, SVM -C 0.1 -S 2: 10
5, SVM -C 0.1 -S 2: 8
4, SVM -C 0.1 -S 2: 4
3, SVM -C 0.1 -S 3: 101
1, SVM -C 0.1 -S 3: 85
2, SVM -C 0.1 -S 3: 52
5, SVM -C 0.1 -S 3: 51
7, SVM -C 0.1 -S 3: 50
4, SVM -C 0.1 -S 3: 46
6, SVM -C 0.1 -S 3: 11
0, SVM -C 0.1 -S 3: 1
3, SVM -C 0.1 -S 4: 59
4, SVM -C 0.1 -S 4: 38
0, SVM -C 0.1 -S 4: 26
1, SVM -C 0.1 -S 4: 22
5, SVM -C 0.1 -S 4: 7
6, SVM -C 0.1 -S 4: 7
2, SVM -C 0.1 -S 4: 5
7, SVM -C 0.1 -S 4: 3
1, SVM -C 0.1 -S 5: 292
7, SVM -C 0.1 -S 5: 253
0, SVM -C 0.1 -S 5: 226
6, SVM -C 0.1 -S 5: 215
3, SVM -C 0.1 -S 5: 194
5, SVM -C 0.1 -S 5: 168
2, SVM -C 0.1 -S 5: 132
4, SVM -C 0.1 -S 5: 57
5, SVM -C 0.1 -S 7: 7829
6, SVM -C 0.1 -S 7: 4835
4, SVM -C 0.1 -S 7: 4019
3, SVM -C 0.1 -S 7: 3008
2, SVM -C 0.1 -S 7: 2826
1, SVM -C 0.1 -S 7: 2680
7, SVM -C 0.1 -S 7: 2474
0, SVM -C 0.1 -S 7: 2337
6, SVM -C 1 -S 0: 213
1, SVM -C 1 -S 0: 184
5, SVM -C 1 -S 0: 183
0, SVM -C 1 -S 0: 165
